% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2314 +5.626287208e-01 +5.626287208e-01 +1.000562629e+03 +1.000562629e+03 +1.5361e-01 -1.0918e+00 -7.4351e-01 +3.6143e+00 -1.3792e+00
2453 +3.406546255e-01 +3.406546255e-01 +1.000340655e+03 +1.000340655e+03 +6.8806e-02 -1.0612e+00 -9.0886e-01 +3.5485e+00 -1.6045e+00
2702 +2.278236926e-01 +2.278236926e-01 +1.000227824e+03 +1.000227824e+03 -5.1294e-02 -9.0096e-01 -9.8822e-01 +3.7113e+00 -1.3809e+00
3044 +1.478462991e-01 +1.478462991e-01 +1.000147846e+03 +1.000147846e+03 +6.4298e-02 -8.4936e-01 -1.0384e+00 +3.6731e+00 -1.3123e+00
3172 +8.890564886e-02 +8.890564886e-02 +1.000088906e+03 +1.000088906e+03 +8.9071e-03 -8.0761e-01 -1.1613e+00 +3.6532e+00 -1.3945e+00
3443 +5.569569788e-02 +5.569569788e-02 +1.000055696e+03 +1.000055696e+03 -1.3366e-01 -8.1089e-01 -1.2573e+00 +3.5731e+00 -1.5005e+00
3567 +3.111315069e-02 +3.111315069e-02 +1.000031113e+03 +1.000031113e+03 -1.4888e-01 -9.0015e-01 -1.3700e+00 +3.4766e+00 -1.5628e+00
3698 +2.511863486e-02 +2.511863486e-02 +1.000025119e+03 +1.000025119e+03 -1.5891e-01 -8.9447e-01 -1.4053e+00 +3.4713e+00 -1.4994e+00
3957 +1.571147324e-02 +1.571147324e-02 +1.000015711e+03 +1.000015711e+03 -2.4676e-01 -1.0020e+00 -1.4619e+00 +3.3161e+00 -1.6634e+00
4557 +9.413301503e-03 +9.413301503e-03 +1.000009413e+03 +1.000009413e+03 -3.1008e-01 -1.0005e+00 -1.6275e+00 +3.2371e+00 -1.8045e+00
4825 +3.612866929e-03 +3.612866929e-03 +1.000003613e+03 +1.000003613e+03 -3.8348e-01 -1.0636e+00 -1.7350e+00 +3.1141e+00 -1.8462e+00
5077 +2.187046133e-03 +2.187046133e-03 +1.000002187e+03 +1.000002187e+03 -4.3931e-01 -1.1433e+00 -1.7736e+00 +3.0953e+00 -1.6534e+00
5201 +1.190361215e-03 +1.190361215e-03 +1.000001190e+03 +1.000001190e+03 -5.1601e-01 -1.1533e+00 -1.8224e+00 +3.0596e+00 -1.6237e+00
5340 +9.013012843e-04 +9.013012843e-04 +1.000000901e+03 +1.000000901e+03 -5.4952e-01 -1.1585e+00 -1.9110e+00 +3.0190e+00 -1.7592e+00
5607 +3.967586800e-04 +3.967586800e-04 +1.000000397e+03 +1.000000397e+03 -5.5616e-01 -1.2656e+00 -1.8569e+00 +2.9234e+00 -1.8646e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.246749961e+01 +2.246749961e+01 -2.666250039e+01 -2.666250039e+01 +2.1060e+00 -1.0875e+00 +2.5586e+00 +1.4610e-01 +1.1579e+00
25 +1.396865842e+01 +1.396865842e+01 -3.516134158e+01 -3.516134158e+01 +2.1149e+00 -9.8955e-01 +2.5294e+00 +2.3591e-01 +1.1036e+00
156 +8.007117824e+00 +8.007117824e+00 -4.112288218e+01 -4.112288218e+01 +2.2116e+00 -1.0550e+00 +2.5064e+00 +1.9708e-01 +1.0551e+00
281 +5.766154641e+00 +5.766154641e+00 -4.336384536e+01 -4.336384536e+01 +2.3187e+00 -9.0057e-01 +2.3714e+00 +3.4792e-01 +1.2076e+00
289 +3.826652434e+00 +3.826652434e+00 -4.530334757e+01 -4.530334757e+01 +2.1808e+00 -1.1002e+00 +2.4082e+00 +1.5029e-01 +9.5590e-01
413 +2.077682238e+00 +2.077682238e+00 -4.705231776e+01 -4.705231776e+01 +2.2570e+00 -1.1601e+00 +2.3608e+00 +1.9357e-01 +9.5277e-01
