% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.702683811e+01 +2.702683811e+01 +6.420683811e+01 +6.420683811e+01 +2.9324e+00 -9.1952e-01 +1.1043e+00 -9.7403e-01 +4.9225e-02 +3.4981e+00 +1.1602e+00 -1.8151e+00 +3.4930e+00 +2.5462e+00
2 +2.420435014e+01 +2.420435014e+01 +6.138435014e+01 +6.138435014e+01 +1.3560e+00 -4.3262e-01 +2.5594e+00 +9.5857e-01 -2.7563e+00 -2.2606e+00 +2.7651e+00 -3.1213e+00 -1.3055e+00 +6.8213e-01
7 +1.520169057e+01 +1.520169057e+01 +5.238169057e+01 +5.238169057e+01 +3.9864e+00 +9.5272e-01 -1.1461e+00 +1.3935e+00 -2.7270e+00 +2.6309e+00 -3.7711e+00 -2.5698e+00 -1.5210e+00 +1.2600e+00
51 +9.370035646e+00 +9.370035646e+00 +4.655003565e+01 +4.655003565e+01 -2.6829e+00 -2.7627e+00 -3.7489e-01 +9.9047e-01 -1.1223e+00 +1.1254e+00 -1.6433e+00 -3.8818e+00 +5.0549e-01 +2.9105e+00
3237 +6.240343362e+00 +6.240343362e+00 +4.342034336e+01 +4.342034336e+01 -3.0038e+00 -2.4761e+00 -2.6220e-01 +9.3360e-01 -1.1272e+00 +1.4210e+00 -1.6410e+00 -3.7253e+00 +1.2093e-01 +2.9274e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.891505762e+01 +1.891505762e+01 -1.289849424e+02 -1.289849424e+02 +2.4992e+00 +3.1570e+00 +2.0313e+00 +3.8796e+00 -1.7982e+00 +1.3551e+00 +7.0287e-01 -2.7744e+00 +1.8372e+00 +1.9989e+00
2 +1.113061373e+01 +1.113061373e+01 -1.367693863e+02 -1.367693863e+02 +3.7924e+00 -9.5124e-01 -1.6201e+00 -2.2914e+00 +3.3408e+00 -4.6277e-01 -6.9912e-01 +2.3147e+00 -1.1334e+00 -3.6797e-01
7 +8.640497929e+00 +8.640497929e+00 -1.392595021e+02 -1.392595021e+02 -5.1313e-01 +2.9992e+00 -2.9143e+00 -7.4493e-01 +1.9560e+00 +7.9328e-03 -1.6778e+00 -2.6741e+00 -2.1353e+00 -6.0454e-01
80 +5.691492149e+00 +5.691492149e+00 -1.422085079e+02 -1.422085079e+02 -3.6575e-01 +4.7087e-01 +4.9420e-01 -4.6313e-01 +3.0769e+00 +1.6937e+00 -1.9601e+00 -4.4485e-02 -1.3022e+00 +1.0793e-01
2244 +3.737330515e+00 +3.737330515e+00 -1.441626695e+02 -1.441626695e+02 -3.3926e-01 +2.7259e-01 +5.4341e-01 -8.0089e-01 +2.8281e+00 +1.5793e+00 -2.3579e+00 +5.5548e-02 -1.3969e+00 +5.5597e-02
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
