% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
15188 +3.915299035e+04 +3.915299035e+04 +3.909805035e+04 +3.909805035e+04 -2.5860e+00 -1.0902e+00 -2.1033e+00 +1.3733e+00 -1.2096e+00 +1.8513e+00 -2.3704e+00 +6.7257e-01 -6.9185e-01 +2.2633e+00 +2.6090e+00 -2.0605e+00 -1.1899e+00 -4.1586e+00 -2.8354e-01 +4.1227e-01 +3.8466e+00 +2.2100e+00 +5.2144e-01 +3.5366e+00
17864 +2.358544735e+04 +2.358544735e+04 +2.353050735e+04 +2.353050735e+04 -2.6556e+00 -1.1128e+00 -2.0990e+00 +1.5282e+00 -9.4482e-01 +1.9873e+00 -2.5564e+00 +1.1188e+00 -8.5813e-01 +2.6889e+00 +2.7515e+00 -1.8970e+00 -8.9361e-01 -4.6178e+00 -1.0946e-01 +8.6559e-01 +4.0615e+00 +1.7031e+00 +5.7312e-01 +3.6440e+00
22871 +1.571264484e+04 +1.571264484e+04 +1.565770484e+04 +1.565770484e+04 -2.0829e+00 -7.4432e-01 -2.3393e+00 +1.4098e+00 -6.3315e-01 +2.1004e+00 -2.6049e+00 +1.1499e+00 -1.3934e+00 +2.8212e+00 +3.0398e+00 -1.6256e+00 -4.0762e-01 -4.7827e+00 +5.1731e-01 +1.0739e+00 +4.1780e+00 +1.4272e+00 +7.3871e-01 +3.5897e+00
28901 +9.788861164e+03 +9.788861164e+03 +9.733921164e+03 +9.733921164e+03 -2.3421e+00 -6.5916e-01 -1.9647e+00 +2.1605e+00 -7.6241e-01 +2.5770e+00 -2.8610e+00 +1.1690e+00 -2.0743e+00 +3.2245e+00 +3.3508e+00 -1.6869e+00 -4.2751e-01 -4.9897e+00 +9.2836e-01 +1.4363e+00 +4.4145e+00 +9.5191e-01 +8.6184e-01 +3.4973e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.544816236e+07 +1.544816236e+07 +1.544822149e+07 +1.544822149e+07 +8.3153e-01 -1.2990e-01 +2.8610e+00 +5.9379e-01 +9.2135e-01 -3.5574e+00 -1.0549e+00 +3.4224e+00 -3.6469e+00 -1.2106e+00 +1.5393e+00 +3.3874e+00 +3.0321e+00 -2.9903e-01 -3.8360e+00 -3.8826e+00 +3.8180e-02 -2.9395e+00 -1.7437e+00 +4.6875e-01
2 +6.037704668e+06 +6.037704668e+06 +6.037763798e+06 +6.037763798e+06 -3.1530e+00 +1.3666e-01 +2.0033e+00 -2.2325e+00 +6.5595e-01 +3.7364e+00 +2.6769e-01 +1.8519e+00 -2.5243e+00 +1.9092e+00 +1.1532e+00 +2.1383e+00 -3.8519e+00 -3.3672e+00 -4.7002e-01 -3.9773e+00 -4.5570e-01 -1.2358e+00 +1.1561e+00 +2.4378e+00
19 +2.275436471e+06 +2.275436471e+06 +2.275495601e+06 +2.275495601e+06 -1.3351e+00 -9.7850e-01 -5.0425e-01 -2.8532e+00 -4.4147e-01 +1.3598e+00 -2.7829e+00 +3.7951e+00 -2.2485e+00 +3.4028e+00 +1.0156e+00 +3.3969e+00 +1.1806e+00 +3.4822e-01 +2.2975e+00 +1.3212e+00 +5.3816e-01 -3.6057e+00 +2.2932e-01 +2.5812e+00
596 +1.493300745e+06 +1.493300745e+06 +1.493359875e+06 +1.493359875e+06 -2.4163e+00 +2.1790e+00 -7.8196e-02 +2.9355e+00 -2.8504e+00 -6.1240e-01 -1.1044e+00 +3.0642e+00 +1.0355e+00 +3.9140e+00 +3.9587e+00 +1.4897e+00 +5.8514e-01 -2.9547e+00 -1.7169e+00 -9.4061e-01 -3.4999e+00 -3.5382e-01 +1.3233e+00 +2.4610e+00
1111 +9.335720664e+05 +9.335720664e+05 +9.336311964e+05 +9.336311964e+05 -2.1968e+00 +2.0547e+00 -2.4753e-01 +2.8152e+00 -2.8632e+00 -6.0427e-01 -1.0388e+00 +3.2580e+00 +9.8845e-01 +4.0181e+00 +3.9666e+00 +1.4527e+00 +3.7793e-01 -2.8585e+00 -1.8786e+00 -9.1142e-01 -3.7298e+00 -4.5216e-01 +1.4011e+00 +2.5229e+00
1712 +6.142528004e+05 +6.142528004e+05 +6.143119304e+05 +6.143119304e+05 -1.9484e+00 +2.2899e+00 -3.0562e-01 +2.5553e+00 -2.8941e+00 -5.1461e-01 -1.2905e+00 +3.1477e+00 +1.1290e+00 +3.9867e+00 +4.0547e+00 +1.6005e+00 +2.9309e-01 -2.8556e+00 -1.4837e+00 -7.6807e-01 -3.3602e+00 -1.8514e-01 +1.5633e+00 +2.3737e+00
2252 +3.959318667e+05 +3.959318667e+05 +3.959909967e+05 +3.959909967e+05 -2.0811e+00 +1.7937e+00 -4.9081e-01 +2.4645e+00 -2.8018e+00 -9.7649e-01 -1.3620e+00 +3.3368e+00 +1.0503e+00 +3.8285e+00 +4.0925e+00 +1.7032e+00 +4.2228e-02 -2.6456e+00 -1.6804e+00 -1.1382e+00 -3.5437e+00 +3.7348e-02 +1.6706e+00 +2.6171e+00
2498 +2.426249353e+05 +2.426249353e+05 +2.426840653e+05 +2.426840653e+05 -1.9342e+00 +1.8174e+00 -6.3392e-01 +2.4241e+00 -2.9318e+00 -9.4607e-01 -1.5186e+00 +3.4307e+00 +1.0930e+00 +3.7567e+00 +4.2252e+00 +1.6498e+00 -1.1946e-01 -2.6314e+00 -1.7626e+00 -1.2017e+00 -3.6564e+00 +1.5380e-01 +1.8467e+00 +2.5237e+00
3230 +1.487966722e+05 +1.487966722e+05 +1.488558022e+05 +1.488558022e+05 -1.9674e+00 +1.8827e+00 -5.3186e-01 +2.4412e+00 -2.9022e+00 -9.4793e-01 -1.3228e+00 +3.2209e+00 +7.6718e-01 +3.6963e+00 +4.5415e+00 +1.5583e+00 -1.7425e-02 -2.5636e+00 -1.7273e+00 -1.0519e+00 -3.5344e+00 +7.8340e-02 +1.9459e+00 +2.4466e+00
3769 +9.855783419e+04 +9.855783419e+04 +9.861696419e+04 +9.861696419e+04 -1.7463e+00 +1.9773e+00 -6.5209e-01 +2.3452e+00 -3.1078e+00 -8.9959e-01 -1.2273e+00 +3.3422e+00 +7.1196e-01 +3.7733e+00 +4.5448e+00 +1.5692e+00 +1.0732e-01 -2.4393e+00 -1.6938e+00 -1.2269e+00 -3.4623e+00 +3.4417e-01 +1.9133e+00 +2.4214e+00
4603 +6.082084862e+04 +6.082084862e+04 +6.087997862e+04 +6.087997862e+04 -1.5046e+00 +2.0547e+00 -7.8504e-01 +2.3353e+00 -3.2737e+00 -1.1569e+00 -1.0785e+00 +3.2552e+00 +5.8552e-01 +3.7753e+00 +4.7329e+00 +1.5059e+00 +3.3270e-01 -2.3773e+00 -1.7410e+00 -1.1732e+00 -3.1560e+00 +3.4249e-01 +1.9477e+00 +2.2781e+00
5140 +3.444536433e+04 +3.444536433e+04 +3.450449433e+04 +3.450449433e+04 -1.5717e+00 +2.2379e+00 -9.1522e-01 +2.3456e+00 -3.2603e+00 -1.1239e+00 -1.1082e+00 +3.2282e+00 +3.0130e-01 +3.5852e+00 +4.7388e+00 +1.4697e+00 +3.5492e-01 -2.3342e+00 -1.5884e+00 -1.3711e+00 -3.0185e+00 +2.4036e-01 +1.8407e+00 +2.3964e+00
5786 +2.393188862e+04 +2.393188862e+04 +2.399101862e+04 +2.399101862e+04 -1.5112e+00 +2.2145e+00 -9.4663e-01 +2.3361e+00 -3.4382e+00 -1.0843e+00 -9.6798e-01 +3.1758e+00 +3.0013e-01 +3.6720e+00 +4.7441e+00 +1.4717e+00 +1.6274e-01 -1.9781e+00 -1.6328e+00 -1.5816e+00 -2.9657e+00 +2.6616e-01 +1.8638e+00 +2.3760e+00
7634 +1.290161625e+04 +1.290161625e+04 +1.296074625e+04 +1.296074625e+04 -1.4785e+00 +2.4402e+00 -9.9533e-01 +2.5082e+00 -3.4635e+00 -1.1816e+00 -6.8258e-01 +2.9581e+00 -1.9309e-03 +3.9153e+00 +4.9041e+00 +1.2981e+00 +1.2413e-01 -1.8705e+00 -1.4569e+00 -1.8258e+00 -2.8562e+00 +5.7672e-01 +1.8269e+00 +2.4722e+00
12561 +9.676346548e+03 +9.676346548e+03 +9.735476548e+03 +9.735476548e+03 -1.2510e+00 +2.5492e+00 -1.4238e+00 +2.5799e+00 -3.3728e+00 -1.3669e+00 -3.2583e-01 +3.2247e+00 -1.7864e-01 +3.5806e+00 +4.4780e+00 +1.2755e+00 -1.0850e-01 -1.8755e+00 -1.3478e+00 -2.2717e+00 -2.7725e+00 +3.9169e-01 +1.3766e+00 +2.3887e+00
18468 +6.273783173e+03 +6.273783173e+03 +6.332913173e+03 +6.332913173e+03 -1.4223e+00 +2.6589e+00 -1.4136e+00 +2.5014e+00 -3.6583e+00 -1.1604e+00 -2.3040e-01 +3.3486e+00 -3.7113e-01 +3.1580e+00 +4.3359e+00 +1.2876e+00 -3.5901e-01 -2.0811e+00 -9.1550e-01 -1.6398e+00 -2.4965e+00 +1.1035e+00 +1.4275e+00 +2.5349e+00
29437 +3.647517027e+03 +3.647517027e+03 +3.706647027e+03 +3.706647027e+03 -1.5188e+00 +2.9889e+00 -1.4061e+00 +2.6194e+00 -3.2309e+00 -7.5188e-01 +1.2185e-01 +3.2632e+00 -6.1812e-01 +3.2436e+00 +4.6499e+00 +9.5774e-01 -8.1849e-01 -2.3084e+00 -5.1264e-01 -1.7291e+00 -2.5898e+00 +1.1493e+00 +1.1045e+00 +2.5028e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.008620842e+07 +2.008620842e+07 +2.008571689e+07 +2.008571689e+07 +3.9244e+00 -6.7498e-01 +2.0755e+00 -3.8934e+00 -1.4498e+00 +1.3313e+00 -2.7149e+00 +2.9806e+00 +3.4670e+00 +4.2633e-01 -3.5784e+00 -2.0449e+00 -7.1823e-01 -3.6336e-02 +1.7869e+00 -2.2863e+00 -2.5122e+00 +6.7342e-01 +1.6575e+00 -1.3956e+00
2 +3.431385839e+06 +3.431385839e+06 +3.430894309e+06 +3.430894309e+06 -2.1546e+00 -4.1703e-01 -3.6587e+00 -8.3279e-01 -1.7279e+00 -1.7904e+00 +2.1596e-01 -3.9282e+00 +2.3411e+00 +3.7651e+00 +1.7238e-01 +2.1228e+00 -2.5846e+00 +2.4807e+00 -1.9906e+00 +2.1555e+00 -1.0980e+00 -3.9857e+00 -2.3189e+00 -2.4993e+00
18 +2.341374774e+06 +2.341374774e+06 +2.340883244e+06 +2.340883244e+06 +3.9518e+00 +3.9313e+00 -2.4018e+00 +3.4780e+00 +2.6500e-01 -6.4219e-02 -5.8494e-01 +9.3477e-01 -3.0366e+00 +3.2548e+00 +2.0980e+00 -8.6502e-01 +3.5291e+00 +1.0634e+00 +3.9797e+00 -2.2043e+00 -3.6219e+00 -1.7888e+00 +1.5593e+00 -1.5851e-02
57 +9.579973536e+05 +9.579973536e+05 +9.575058236e+05 +9.575058236e+05 -9.0464e-01 +3.0717e+00 -1.3461e+00 -1.5683e+00 +2.3953e-02 -3.3239e+00 +1.2133e+00 +2.3868e+00 -1.8334e+00 -8.8307e-01 -2.6283e+00 +3.5637e+00 +1.9258e+00 -1.7717e+00 -1.4022e+00 +2.4954e+00 -2.3575e-02 +2.0400e+00 +4.0890e-01 +2.6465e+00
900 +6.216334836e+05 +6.216334836e+05 +6.211419536e+05 +6.211419536e+05 -1.4888e+00 -3.6512e-01 -1.5050e+00 +4.7051e-01 -2.1614e-01 -1.0840e+00 -6.3004e-01 +7.3533e-01 -9.0109e-01 -1.6642e+00 +3.4798e+00 -5.4497e-01 +3.7344e-01 -5.7834e-01 -2.3793e-01 +3.1259e+00 +2.4378e+00 +2.4002e+00 -1.7760e+00 -3.0141e+00
2279 +3.839652788e+05 +3.839652788e+05 +3.834737488e+05 +3.834737488e+05 -1.4136e+00 -8.5086e-01 -1.4343e+00 +8.0452e-01 -2.8797e-01 -9.0097e-01 -3.8429e-01 +9.4964e-01 -8.3839e-01 -1.8565e+00 +3.6232e+00 -3.1574e-01 +4.1060e-01 -6.9737e-01 -4.8272e-01 +2.8647e+00 +2.2634e+00 +2.1481e+00 -1.8021e+00 -2.9408e+00
3404 +2.438171553e+05 +2.438171553e+05 +2.433256253e+05 +2.433256253e+05 -1.3434e+00 -6.9412e-01 -1.5527e+00 +1.0735e+00 -3.3444e-01 -8.5091e-01 +1.6225e-01 +9.0994e-01 -9.4533e-01 -1.5759e+00 +3.7736e+00 -3.3113e-01 +4.7844e-01 -9.6816e-01 -8.9718e-01 +2.8547e+00 +2.1262e+00 +1.9635e+00 -2.0146e+00 -3.0264e+00
5694 +1.574795428e+05 +1.574795428e+05 +1.569880128e+05 +1.569880128e+05 -9.9961e-01 -7.9999e-01 -1.6120e+00 +1.3721e+00 -4.7752e-02 -7.1471e-01 +5.1212e-01 +8.0569e-01 -1.2497e+00 -1.4582e+00 +4.0865e+00 -3.9525e-01 +2.7158e-01 -1.1602e+00 -1.3770e+00 +2.2936e+00 +1.7165e+00 +2.0614e+00 -2.2114e+00 -3.3159e+00
7326 +9.947937672e+04 +9.947937672e+04 +9.898784672e+04 +9.898784672e+04 -8.3075e-01 -7.6202e-01 -1.8810e+00 +1.5816e+00 -4.2358e-03 -9.4466e-01 +7.8544e-01 +7.2751e-01 -1.3175e+00 -1.3266e+00 +4.0816e+00 -2.5146e-01 +3.3507e-02 -9.7576e-01 -1.4662e+00 +1.8221e+00 +1.2484e+00 +1.7696e+00 -2.5642e+00 -3.2372e+00
9318 +6.167099534e+04 +6.167099534e+04 +6.117946534e+04 +6.117946534e+04 -6.3212e-01 -7.2485e-01 -2.6580e+00 +1.9715e+00 +2.7237e-01 -1.2905e+00 +7.6300e-01 +8.2357e-01 -1.2474e+00 -1.5414e+00 +3.9845e+00 -3.9469e-01 -3.5312e-01 -7.6323e-01 -1.4676e+00 +1.8615e+00 +8.9983e-01 +1.4728e+00 -2.6585e+00 -2.9778e+00
10954 +3.940119461e+04 +3.940119461e+04 +3.890966461e+04 +3.890966461e+04 -8.4768e-02 -7.5328e-01 -2.8343e+00 +2.0996e+00 +3.1467e-01 -1.5370e+00 +8.9638e-01 +1.0561e+00 -1.4210e+00 -1.2304e+00 +3.9635e+00 -4.6749e-01 -3.3644e-01 -7.9536e-01 -1.6002e+00 +1.4238e+00 +5.1240e-01 +1.2773e+00 -2.5390e+00 -2.8064e+00
15744 +2.280554533e+04 +2.280554533e+04 +2.231401533e+04 +2.231401533e+04 -8.8003e-03 -1.9778e-01 -3.0227e+00 +2.2818e+00 +9.2540e-01 -1.4935e+00 +7.6700e-01 +6.0187e-01 -1.3771e+00 -8.4375e-01 +4.0732e+00 -3.4911e-01 -5.3053e-01 -5.7258e-01 -2.4376e+00 +1.5559e+00 -3.2890e-01 +9.7992e-01 -2.4441e+00 -2.7871e+00
17515 +1.533095221e+04 +1.533095221e+04 +1.483942221e+04 +1.483942221e+04 +3.4115e-01 -2.2287e-01 -3.0530e+00 +2.3569e+00 +1.1856e+00 -1.7693e+00 +6.6817e-01 +6.2965e-01 -1.3441e+00 -8.3188e-01 +4.2399e+00 -4.7854e-01 -5.7631e-01 -6.7427e-01 -2.6972e+00 +1.7621e+00 -5.4918e-01 +9.8681e-01 -2.3191e+00 -2.6778e+00
20795 +9.937562788e+03 +9.937562788e+03 +9.446032788e+03 +9.446032788e+03 -3.8034e-02 -7.9729e-02 -3.3982e+00 +2.6225e+00 +1.6344e+00 -1.8500e+00 +1.0997e+00 +8.8481e-01 -7.4534e-01 -3.8028e-01 +4.0529e+00 -4.1471e-01 -9.7852e-01 -2.4979e-01 -3.1783e+00 +1.7986e+00 -3.8518e-01 +7.2676e-01 -2.5997e+00 -2.4003e+00
29849 +6.109853062e+03 +6.109853062e+03 +5.618323062e+03 +5.618323062e+03 -9.2134e-03 -4.8631e-01 -3.8124e+00 +2.2899e+00 +2.3110e+00 -1.7678e+00 +1.1643e+00 +1.3735e+00 -8.7889e-01 -7.1711e-01 +3.7276e+00 -1.1404e+00 -1.1865e+00 -7.2900e-01 -3.3571e+00 +1.2913e+00 -3.3786e-01 +1.4808e+00 -2.8697e+00 -2.2223e+00
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.110402917e+07 +1.110402917e+07 +1.110385897e+07 +1.110385897e+07 +2.5119e+00 -3.9574e+00 +2.8036e+00 +1.2174e+00 +3.2149e+00 +3.9972e+00 -9.0147e-01 -1.0055e+00 +2.3029e+00 -1.9066e+00 +8.9971e-01 -1.7437e+00 -7.1204e-01 +7.6891e-01 -1.4326e+00 +4.3749e-01 +1.5233e+00 -2.9581e+00 -1.9877e+00 +2.4370e+00
4 +4.534812927e+06 +4.534812927e+06 +4.534642727e+06 +4.534642727e+06 +3.5230e+00 +6.2239e-01 -3.7587e+00 +1.3595e+00 +2.3561e+00 +1.6930e+00 -2.3422e+00 -5.9793e-01 -4.7894e-01 -4.2425e-01 +1.0870e-01 +3.8877e+00 +1.1808e+00 -1.5356e-01 +3.7570e+00 -3.0528e-01 +3.2032e+00 -3.8382e+00 +8.5785e-01 +1.5319e+00
20 +3.062189025e+06 +3.062189025e+06 +3.062018825e+06 +3.062018825e+06 -3.7857e+00 +1.5738e+00 -1.4898e+00 -6.2398e-01 +3.9638e+00 -3.1084e+00 -6.0314e-01 -1.6853e+00 -9.4711e-01 -3.4036e+00 -3.5756e+00 -1.4403e+00 +6.4064e-01 -1.4295e+00 -2.8590e+00 +2.8833e+00 -1.9276e+00 -2.4398e+00 -2.1432e+00 +2.9780e+00
59 +1.322682542e+06 +1.322682542e+06 +1.322512342e+06 +1.322512342e+06 -1.1507e+00 -3.6043e+00 +8.4010e-01 -1.3643e+00 +1.2760e+00 -2.4449e+00 -2.8042e+00 -3.5943e-01 -2.3458e+00 +1.0003e+00 -1.7525e+00 -3.1819e-02 -3.0582e+00 -1.1178e+00 +2.7474e+00 -3.9641e+00 -5.9459e-02 +3.4596e+00 -2.5392e+00 +1.7660e+00
461 +9.980738964e+05 +9.980738964e+05 +9.979036964e+05 +9.979036964e+05 -9.5325e-01 -3.6210e+00 +8.9175e-01 -1.3266e+00 +1.4484e+00 -2.4716e+00 -2.7098e+00 -4.8908e-01 -2.2518e+00 +1.0639e+00 -1.4551e+00 -2.9118e-01 -3.1551e+00 -1.0271e+00 +2.7708e+00 -4.1435e+00 -3.2408e-01 +3.4819e+00 -2.5000e+00 +1.7678e+00
1113 +5.631615685e+05 +5.631615685e+05 +5.629913685e+05 +5.629913685e+05 -9.3503e-01 -3.4752e+00 +5.7993e-01 -1.1333e+00 +1.5216e+00 -2.5229e+00 -2.8885e+00 -6.9190e-01 -2.2489e+00 +1.2241e+00 -1.2893e+00 -2.1294e-01 -2.9789e+00 -1.1782e+00 +2.6906e+00 -4.0190e+00 -6.5801e-01 +3.2116e+00 -2.3680e+00 +1.6100e+00
1846 +3.852311292e+05 +3.852311292e+05 +3.850609292e+05 +3.850609292e+05 -1.0455e+00 -3.9508e+00 +5.6128e-01 -1.2203e+00 +1.5256e+00 -2.5956e+00 -2.9659e+00 -5.8470e-01 -2.5838e+00 +1.3977e+00 -1.2713e+00 -2.8036e-01 -2.6391e+00 -1.3355e+00 +2.6667e+00 -4.3079e+00 -7.4167e-01 +3.4888e+00 -2.4639e+00 +1.5691e+00
3495 +2.507186908e+05 +2.507186908e+05 +2.505484908e+05 +2.505484908e+05 -1.1176e+00 -4.0414e+00 +5.4025e-01 -8.7103e-01 +1.7573e+00 -2.3989e+00 -3.5183e+00 -7.1103e-01 -2.6721e+00 +1.6120e+00 -1.1913e+00 -1.6087e-01 -2.3391e+00 -1.1984e+00 +2.4107e+00 -4.7344e+00 -1.0132e+00 +3.5739e+00 -2.3301e+00 +1.1871e+00
4151 +1.572168297e+05 +1.572168297e+05 +1.570466297e+05 +1.570466297e+05 -9.5062e-01 -4.2845e+00 +6.4440e-01 -9.2265e-01 +1.8123e+00 -2.3083e+00 -3.4956e+00 -4.0136e-01 -2.6378e+00 +1.6327e+00 -1.0486e+00 +3.5760e-03 -2.3557e+00 -1.3840e+00 +2.2747e+00 -5.0127e+00 -1.2151e+00 +3.5374e+00 -1.9952e+00 +7.1816e-01
5123 +9.691128984e+04 +9.691128984e+04 +9.674108984e+04 +9.674108984e+04 -9.7566e-01 -4.1616e+00 +6.1262e-01 -9.2510e-01 +2.0701e+00 -2.0415e+00 -3.2901e+00 -4.7056e-01 -2.8103e+00 +1.4646e+00 -1.0309e+00 +9.3586e-02 -2.4366e+00 -1.2552e+00 +2.0670e+00 -4.9551e+00 -1.3926e+00 +3.2289e+00 -1.9179e+00 +4.3744e-01
6891 +5.893974188e+04 +5.893974188e+04 +5.876954188e+04 +5.876954188e+04 -9.7379e-01 -4.2209e+00 +3.3249e-01 -8.3196e-01 +2.1309e+00 -2.0932e+00 -3.6551e+00 -4.3834e-01 -2.8147e+00 +1.5966e+00 -1.0517e+00 +1.6092e-01 -2.2881e+00 -9.5008e-01 +1.5384e+00 -5.2805e+00 -1.3179e+00 +3.1331e+00 -1.4761e+00 +1.2918e-01
