% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
23 +1.140383083e+05 +1.140383083e+05 +1.138681083e+05 +1.138681083e+05 -9.6303e-01 -1.7679e+00 -2.8074e+00
47 +3.388248928e+04 +3.388248928e+04 +3.371228928e+04 +3.371228928e+04 -2.2276e+00 -3.3536e+00 -1.5986e-01
60 +7.331968385e+03 +7.331968385e+03 +7.161768385e+03 +7.161768385e+03 -2.1503e+00 -1.0727e+00 -3.0616e+00
71 +3.561262893e+03 +3.561262893e+03 +3.391062893e+03 +3.391062893e+03 -2.1441e+00 -1.0584e+00 -2.9736e+00
1113 +2.428661153e+03 +2.428661153e+03 +2.258461153e+03 +2.258461153e+03 -2.5223e+00 -9.1683e-01 -2.6624e+00
1845 +1.433521964e+03 +1.433521964e+03 +1.263321964e+03 +1.263321964e+03 -2.5368e+00 -1.0999e+00 -2.4232e+00
2507 +9.101380450e+02 +9.101380450e+02 +7.399380450e+02 +7.399380450e+02 -2.9210e+00 -7.7198e-01 -2.3832e+00
3231 +5.895967719e+02 +5.895967719e+02 +4.193967719e+02 +4.193967719e+02 -2.8678e+00 -9.6168e-01 -2.2082e+00
3492 +3.196749048e+02 +3.196749048e+02 +1.494749048e+02 +1.494749048e+02 -3.1282e+00 -8.2480e-01 -2.0500e+00
4160 +2.130426247e+02 +2.130426247e+02 +4.284262466e+01 +4.284262466e+01 -3.2531e+00 -8.0702e-01 -1.9402e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.199306381e+07 +2.199306381e+07 +2.199259406e+07 +2.199259406e+07 -9.9147e-01 -3.4938e+00 -2.9542e+00
3 +3.506771137e+06 +3.506771137e+06 +3.506301387e+06 +3.506301387e+06 +3.7450e+00 +1.8847e+00 -1.0412e+00
7 +1.105762395e+05 +1.105762395e+05 +1.101064895e+05 +1.101064895e+05 +2.1526e+00 -8.1922e-01 +2.0654e+00
11 +1.874210334e+04 +1.874210334e+04 +1.827235334e+04 +1.827235334e+04 +2.7618e+00 -1.3483e+00 +1.4066e+00
32 +1.552127387e+04 +1.552127387e+04 +1.505152387e+04 +1.505152387e+04 +2.8354e+00 -1.4099e+00 +1.3320e+00
335 +6.732704517e+02 +6.732704517e+02 +2.035204517e+02 +2.035204517e+02 +6.5371e-01 -3.0266e+00 +3.1932e+00
353 +4.144083983e+02 +4.144083983e+02 -5.534160168e+01 -5.534160168e+01 +7.0547e-01 -2.9027e+00 +3.1800e+00
475 +3.452391880e+02 +3.452391880e+02 -1.245108120e+02 -1.245108120e+02 +6.6401e-01 -2.8527e+00 +3.2424e+00
617 +2.187496112e+02 +2.187496112e+02 -2.510003888e+02 -2.510003888e+02 +5.4937e-01 -3.0498e+00 +3.2835e+00
990 +1.513881217e+02 +1.513881217e+02 -3.183618783e+02 -3.183618783e+02 +6.5725e-01 -3.2727e+00 +3.0124e+00
1862 +8.021313231e+01 +8.021313231e+01 -3.895368677e+02 -3.895368677e+02 +4.3098e-01 -3.1724e+00 +3.3378e+00
1974 +4.897461021e+01 +4.897461021e+01 -4.207753898e+02 -4.207753898e+02 +4.3667e-01 -3.1950e+00 +3.3293e+00
1996 +1.745310686e+01 +1.745310686e+01 -4.522968931e+02 -4.522968931e+02 +3.4980e-01 -3.2527e+00 +3.3956e+00
2517 +1.009175126e+01 +1.009175126e+01 -4.596582487e+02 -4.596582487e+02 +2.8708e-01 -3.4032e+00 +3.3876e+00
2643 +9.660242159e-01 +9.660242159e-01 -4.687839758e+02 -4.687839758e+02 +3.1216e-01 -3.3278e+00 +3.4041e+00
% function evaluation | noise-free fitness - Fopt (1.999100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.194869230e+06 +7.194869230e+06 +7.195069140e+06 +7.195069140e+06 +1.5364e+00 +8.9897e-01 +3.1597e+00
4 +3.223344892e+05 +3.223344892e+05 +3.225343992e+05 +3.225343992e+05 -1.9854e+00 +3.2920e+00 +3.2874e+00
10 +1.346307002e+05 +1.346307002e+05 +1.348306102e+05 +1.348306102e+05 +1.3388e+00 +3.4322e+00 +3.5726e+00
32 +8.117775253e+03 +8.117775253e+03 +8.317685253e+03 +8.317685253e+03 +1.2602e-01 +3.3964e+00 +3.3498e+00
159 +5.230952662e+03 +5.230952662e+03 +5.430862662e+03 +5.430862662e+03 +9.2815e-02 +3.4137e+00 +3.4554e+00
214 +3.591775155e+03 +3.591775155e+03 +3.791685155e+03 +3.791685155e+03 -2.4485e+00 +2.9245e+00 +2.4791e+00
332 +5.637045512e+02 +5.637045512e+02 +7.636145512e+02 +7.636145512e+02 -2.4839e+00 +2.8535e+00 +2.4701e+00
337 +2.572139442e+02 +2.572139442e+02 +4.571239442e+02 +4.571239442e+02 -2.3554e+00 +2.8598e+00 +2.4999e+00
592 +2.404811466e+02 +2.404811466e+02 +4.403911466e+02 +4.403911466e+02 -2.4353e+00 +2.8480e+00 +2.4877e+00
