% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.332520732e+02 +9.332520732e+02 +9.163120732e+02 +9.163120732e+02 -3.1368e+00 +1.2345e+00 +2.7543e+00 +3.2807e+00 -1.2704e+00 +8.3025e-01 +2.7777e-01 +1.0100e+00 -1.9369e-01 +1.6541e+00 -3.9518e+00 +1.1899e+00 +3.0044e+00 -2.8499e+00 +6.6124e-01 -8.2063e-01 -2.9314e+00 -2.3314e+00 -3.3750e+00 -2.0158e+00
2 +4.257076433e+02 +4.257076433e+02 +4.087676433e+02 +4.087676433e+02 +2.9822e+00 +3.2240e+00 -2.2312e+00 +1.2656e-01 -2.2793e+00 +3.7584e-01 +3.3125e+00 +1.2036e+00 -1.9922e+00 +3.7575e+00 -3.9242e+00 -3.7757e+00 +3.3233e+00 +1.0136e+00 -7.0796e-01 +2.9826e+00 +3.0535e+00 +2.5628e+00 -2.2543e+00 -1.5624e-02
4 +1.292997673e+02 +1.292997673e+02 +1.123597673e+02 +1.123597673e+02 -3.7279e+00 -2.6252e+00 -1.2764e+00 +2.1157e-01 +4.5995e-01 -9.9258e-01 -2.7555e+00 +3.6747e+00 +2.7269e+00 -1.6737e+00 -1.7204e+00 -1.7621e+00 -5.5970e-03 -2.9041e+00 +3.2432e+00 +2.7814e+00 -1.4966e+00 +5.1750e-01 -1.9323e+00 -1.4920e-01
10 +9.885840318e+01 +9.885840318e+01 +8.191840318e+01 +8.191840318e+01 -1.2789e+00 -6.5840e-01 -2.2604e+00 +2.6006e+00 +2.1252e-01 -1.1686e+00 -5.8802e-01 -8.4695e-01 +2.0697e+00 -1.0339e+00 +4.5341e-01 -2.6338e+00 +1.3076e+00 +2.3188e+00 +3.6226e+00 -1.7528e+00 +3.7336e+00 +1.6617e+00 -1.0313e+00 +3.3420e+00
88 +6.129865835e+01 +6.129865835e+01 +4.435865835e+01 +4.435865835e+01 -2.3844e+00 +5.1990e-01 +3.9101e-01 -1.2324e+00 +1.3465e+00 -1.1746e-01 +2.0139e+00 +2.3930e+00 -2.4884e+00 -3.1224e+00 -9.8797e-01 -1.7978e+00 -1.6478e+00 -2.5933e+00 +1.6893e+00 +9.8541e-01 +1.5317e-01 +1.8573e+00 +3.4808e+00 -1.2697e+00
728 +3.952814564e+01 +3.952814564e+01 +2.258814564e+01 +2.258814564e+01 -1.5206e-01 +1.8250e-01 -1.3952e+00 -1.3094e+00 +1.5656e+00 +1.7201e-01 -5.6368e-01 +2.5568e+00 -1.7491e+00 -1.6482e+00 -1.1589e+00 -5.8449e-01 -2.9440e+00 -2.8022e+00 +2.5798e+00 +9.5022e-01 +1.1235e+00 +1.4614e+00 +4.9774e-01 -5.0734e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.401740021e+01 +6.401740021e+01 +8.282740021e+01 +8.282740021e+01 -2.7130e+00 +1.3882e+00 +2.1247e+00 +5.3288e-01 +2.0118e+00 -3.1900e+00 -8.6650e-01 -8.1328e-02 +3.2198e+00 -1.5358e+00 +2.7875e+00 +9.9800e-01 +3.7395e+00 -1.3332e+00 -6.4510e-01 -2.7417e+00 +1.6341e+00 -2.3765e+00 +1.1419e+00 +2.5920e+00
22 +6.223493962e+01 +6.223493962e+01 +8.104493962e+01 +8.104493962e+01 -2.7259e+00 +1.4120e+00 +2.0869e+00 +4.9987e-01 +2.0859e+00 -3.1385e+00 -9.1105e-01 -8.4437e-03 +3.1770e+00 -1.5531e+00 +2.8125e+00 +9.0402e-01 +3.7005e+00 -1.3366e+00 -6.6696e-01 -2.7789e+00 +1.5476e+00 -2.2911e+00 +1.2312e+00 +2.6690e+00
204 +3.474282339e+01 +3.474282339e+01 +5.355282339e+01 +5.355282339e+01 +1.4166e+00 +1.4321e-01 +1.1315e-02 -2.1970e+00 +1.0469e+00 -5.8880e-01 +2.3923e+00 +1.7513e+00 -1.0564e+00 +1.4943e+00 +2.4042e-02 +2.9365e+00 -9.7560e-02 -6.9787e-01 -1.0631e+00 -2.7688e-02 -3.1053e+00 +3.1777e+00 -2.7950e+00 -9.2926e-01
1125 +2.427443873e+01 +2.427443873e+01 +4.308443873e+01 +4.308443873e+01 +1.8100e+00 -3.7728e-01 -1.4232e+00 -8.6708e-01 +7.0205e-01 -1.6131e+00 +1.9327e+00 +4.0201e-01 -9.4258e-01 +3.7565e-01 -3.6777e-01 +3.4480e+00 +3.1804e+00 +1.2816e-01 +1.7011e-01 -8.3215e-01 -1.1098e+00 +3.1431e+00 -2.5113e+00 -1.4945e+00
