% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.435531964e+10 +1.435531964e+10 +1.435531901e+10 +1.435531901e+10 -2.7151e-01 -2.8360e+00 +1.6991e+00 -1.1017e+00 +1.5600e+00 +3.9521e+00 +2.5662e+00 -8.5868e-01 +1.0136e+00 +1.8782e+00 -8.1463e-01 -3.6724e+00 +3.9246e+00 -2.4983e+00 -3.1891e+00 -3.3262e+00 +3.8627e+00 -3.1053e+00 +2.6508e+00 -3.3858e+00
2 +1.381454127e+09 +1.381454127e+09 +1.381453506e+09 +1.381453506e+09 -2.3973e-01 +1.9651e+00 +1.4165e+00 +3.2860e+00 -1.8152e+00 -2.7065e+00 -3.2884e+00 +2.3503e+00 -1.3886e+00 -2.1794e+00 -3.9313e+00 +8.0048e-01 -4.9527e-01 -1.5193e+00 +1.4660e+00 +1.4543e+00 +4.2017e-01 -8.8807e-01 +1.5658e+00 -2.4884e+00
6 +9.352786513e+08 +9.352786513e+08 +9.352780302e+08 +9.352780302e+08 -2.6939e+00 +7.9889e-01 -8.8872e-02 +3.7160e+00 -2.2248e+00 +3.4513e+00 -3.7521e+00 -1.1463e+00 -2.3958e-01 +3.9018e-01 +1.2445e+00 -3.2203e-02 +2.2653e+00 +3.4187e+00 +7.8905e-01 -2.6202e+00 +5.5507e-01 +1.5333e+00 -3.5281e+00 -3.5496e+00
11 +4.550822578e+08 +4.550822578e+08 +4.550816367e+08 +4.550816367e+08 +3.4227e+00 +2.7423e-01 -5.8262e-01 +1.1685e+00 -3.0015e+00 +2.5942e+00 -2.1218e+00 +2.1199e+00 +2.1870e+00 -6.0339e-01 +6.5887e-02 +2.0320e+00 +8.0151e-01 +2.1952e+00 -7.9528e-01 -1.1280e+00 -1.1399e+00 -3.3560e+00 -1.8923e+00 +1.6542e+00
17 +1.937558397e+08 +1.937558397e+08 +1.937552186e+08 +1.937552186e+08 +3.0674e+00 +2.8508e+00 +1.5591e+00 -3.6873e+00 -7.2639e-01 +2.1040e+00 -3.0075e+00 +4.5302e-01 +3.5657e+00 -2.4266e+00 +3.4721e+00 +9.6292e-01 +3.3431e+00 -2.0504e+00 +5.4485e-02 -1.2500e+00 -1.1419e+00 +8.4443e-01 +1.6041e+00 -3.1122e-01
46 +1.131393221e+08 +1.131393221e+08 +1.131387010e+08 +1.131387010e+08 +1.6687e+00 +1.7125e+00 -2.9992e-01 -1.3201e+00 +1.7156e+00 -2.3775e+00 +9.2842e-01 +2.9166e+00 -2.0504e+00 -3.7592e+00 -1.2173e+00 -1.4991e-01 +2.6276e+00 +2.1839e+00 +3.1847e+00 -3.1870e+00 +3.9782e-01 +1.7473e+00 -1.6814e+00 +6.5525e-01
201 +9.716687910e+07 +9.716687910e+07 +9.716625799e+07 +9.716625799e+07 +9.2663e-01 +2.8711e+00 +1.5578e+00 -2.1491e+00 -3.0422e+00 -5.5189e-01 +1.2738e+00 +1.1483e+00 -7.5161e-01 -3.2981e+00 -1.8534e+00 +5.0287e-01 +2.3871e+00 +2.6644e+00 +1.8907e+00 -3.0827e+00 +6.7618e-01 +1.3722e-01 -3.0655e+00 +1.3885e+00
2107 +6.292951029e+07 +6.292951029e+07 +6.292888918e+07 +6.292888918e+07 +7.2547e-01 +3.6572e+00 +1.5891e+00 -2.1700e+00 -3.1520e+00 -9.4451e-01 +1.9182e+00 +1.2962e+00 -6.3840e-01 -3.0668e+00 -1.1553e+00 +8.6807e-01 +2.5859e+00 +2.5218e+00 +2.1654e+00 -2.1412e+00 +4.5346e-01 +6.1528e-02 -2.0818e+00 +1.3400e+00
4136 +3.915660549e+07 +3.915660549e+07 +3.915598438e+07 +3.915598438e+07 +5.4038e-01 +3.7472e+00 +1.3218e+00 -2.3368e+00 -2.6820e+00 -1.2368e+00 +1.8448e+00 +1.1708e+00 -5.8157e-01 -2.7926e+00 -7.6592e-01 +1.6221e+00 +2.8472e+00 +2.2071e+00 +2.1275e+00 -2.2397e+00 +2.8747e-01 +5.4967e-01 -1.4824e+00 +1.0509e+00
6242 +2.453902342e+07 +2.453902342e+07 +2.453840231e+07 +2.453840231e+07 +2.4466e-01 +4.0841e+00 +9.4830e-01 -2.5416e+00 -2.3109e+00 -1.2641e+00 +1.9603e+00 +7.7607e-01 -8.5543e-02 -2.4262e+00 -3.4722e-01 +1.8609e+00 +2.9994e+00 +2.2013e+00 +1.8715e+00 -2.4525e+00 +2.8115e-01 +7.7337e-01 -9.0827e-01 +1.1499e+00
