% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
69 +1.732614615e-01 +1.732614615e-01 -2.469367385e+02 -2.469367385e+02 -3.9690e+00 -1.7650e-01
196 +1.198271414e-01 +1.198271414e-01 -2.469901729e+02 -2.469901729e+02 -3.4989e+00 +2.9585e-02
297 +5.692060778e-02 +5.692060778e-02 -2.470530794e+02 -2.470530794e+02 -3.6110e+00 +3.5086e-01
347 +1.028826152e-03 +1.028826152e-03 -2.471089712e+02 -2.471089712e+02 -3.7702e+00 +2.1842e-01
1553 +3.764801505e-04 +3.764801505e-04 -2.471096235e+02 -2.471096235e+02 -3.7993e+00 +1.8382e-01
1605 +1.705752428e-04 +1.705752428e-04 -2.471098294e+02 -2.471098294e+02 -3.7947e+00 +2.1571e-01
2746 +1.337773894e-04 +1.337773894e-04 -2.471098662e+02 -2.471098662e+02 -3.7911e+00 +2.1221e-01
2806 +3.759948459e-05 +3.759948459e-05 -2.471099624e+02 -2.471099624e+02 -3.8044e+00 +2.0443e-01
4688 +4.842957850e-06 +4.842957850e-06 -2.471099952e+02 -2.471099952e+02 -3.7968e+00 +2.0468e-01
8251 +2.115659697e-06 +2.115659697e-06 -2.471099979e+02 -2.471099979e+02 -3.7993e+00 +2.0209e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.008074823e+00 +6.008074823e+00 -1.460319252e+02 -1.460319252e+02 +2.8646e-01 -9.6379e-01
2 +7.477951838e-01 +7.477951838e-01 -1.512922048e+02 -1.512922048e+02 -8.2674e-01 +2.0833e+00
137 +3.360389968e-04 +3.360389968e-04 -1.520396640e+02 -1.520396640e+02 -2.8525e-01 +1.4272e+00
1559 +2.051143528e-04 +2.051143528e-04 -1.520397949e+02 -1.520397949e+02 -2.7298e-01 +1.4371e+00
1657 +1.312253966e-04 +1.312253966e-04 -1.520398688e+02 -1.520398688e+02 -2.7468e-01 +1.4327e+00
1786 +1.893753691e-05 +1.893753691e-05 -1.520399811e+02 -1.520399811e+02 -2.7121e-01 +1.4223e+00
2922 +7.989779760e-06 +7.989779760e-06 -1.520399920e+02 -1.520399920e+02 -2.6586e-01 +1.4265e+00
5851 +5.076495114e-06 +5.076495114e-06 -1.520399949e+02 -1.520399949e+02 -2.6531e-01 +1.4252e+00
9486 +3.129139543e-06 +3.129139543e-06 -1.520399969e+02 -1.520399969e+02 -2.6843e-01 +1.4227e+00
